Customer_ID,Segment,Customer_Name
CG-12520,Consumer,Claire Gute
DV-13045,Corporate,Darrin Van Huff
SO-20335,Consumer,Sean O'Donnell
BH-11710,Consumer,Brosina Hoffman
AA-10480,Consumer,Andrew Allen
IM-15070,Consumer,Irene Maddox
HP-14815,Home Office,Harold Pawlan
PK-19075,Consumer,Pete Kriz
AG-10270,Consumer,Alejandro Grove
ZD-21925,Consumer,Zuschuss Donatelli
KB-16585,Corporate,Ken Black
SF-20065,Consumer,Sandra Flanagan
EB-13870,Consumer,Emily Burns
EH-13945,Consumer,Eric Hoffmann
TB-21520,Consumer,Tracy Blumstein
MA-17560,Home Office,Matt Abelman
GH-14485,Corporate,Gene Hale
SN-20710,Home Office,Steve Nguyen
LC-16930,Corporate,Linda Cazamias
RA-19885,Corporate,Ruben Ausman
ES-14080,Corporate,Erin Smith
ON-18715,Corporate,Odella Nelson
PO-18865,Consumer,Patrick O'Donnell
LH-16900,Consumer,Lena Hernandez
DP-13000,Consumer,Darren Powers
JM-15265,Corporate,Janet Molinari
TB-21055,Consumer,Ted Butterfield
KM-16720,Consumer,Kunst Miller
PS-18970,Home Office,Paul Stevenson
BS-11590,Corporate,Brendan Sweed
KD-16270,Consumer,Karen Daniels
HM-14980,Consumer,Henry MacAllister
JE-15745,Consumer,Joel Eaton
KB-16600,Corporate,Ken Brennan
SC-20770,Corporate,Stewart Carmichael
DN-13690,Consumer,Duane Noonan
JC-16105,Corporate,Julie Creighton
CS-12400,Home Office,Christopher Schild
PG-18895,Consumer,Paul Gonzalez
GM-14455,Home Office,Gary Mitchum
JS-15685,Corporate,Jim Sink
KB-16315,Consumer,Karl Braun
RB-19705,Home Office,Roger Barcio
PN-18775,Home Office,Parhena Norris
KD-16345,Consumer,Katherine Ducich
ER-13855,Corporate,Elpida Rittenbach
RB-19465,Home Office,Rick Bensley
GZ-14470,Consumer,Gary Zandusky
LC-16870,Consumer,Lena Cacioppo
JM-15250,Consumer,Janet Martin
PA-19060,Home Office,Pete Armstrong
CV-12805,Corporate,Cynthia Voltz
CL-12565,Consumer,Clay Ludtke
RC-19960,Consumer,Ryan Crowe
DK-13090,Consumer,Dave Kipp
GG-14650,Corporate,Greg Guthrie
SC-20725,Consumer,Steven Cartwright
AD-10180,Home Office,Alan Dominguez
PF-19165,Consumer,Philip Fox
TS-21610,Consumer,Troy Staebel
LS-16975,Home Office,Lindsay Shagiari
DW-13585,Corporate,Dorothy Wardle
LC-16885,Consumer,Lena Creighton
JD-15895,Corporate,Jonathan Doherty
SH-19975,Corporate,Sally Hughsby
SG-20080,Consumer,Sandra Glassco
HA-14920,Consumer,Helen Andreada
MG-17680,Home Office,Maureen Gastineau
JE-16165,Corporate,Justin Ellison
TW-21025,Home Office,Tamara Willingham
SP-20650,Corporate,Stephanie Phelps
NK-18490,Home Office,Neil Knudson
DB-13060,Consumer,Dave Brooks
NP-18670,Consumer,Nora Paige
TT-21070,Consumer,Ted Trevino
EM-13960,Consumer,Eric Murdock
RD-19900,Consumer,Ruben Dartt
MJ-17740,Consumer,Max Jones
BM-11140,Consumer,Becky Martin
CS-12130,Consumer,Chad Sievert
JB-15400,Corporate,Jennifer Braxton
SJ-20500,Consumer,Shirley Jackson
JK-15640,Home Office,Jim Kriz
DK-13150,Corporate,David Kendrick
RM-19675,Home Office,Robert Marley
SK-19990,Consumer,Sally Knutson
FM-14290,Home Office,Frank Merwin
AM-10360,Corporate,Alice McCarthy
MP-17470,Home Office,Mark Packer
MZ-17515,Corporate,Mary Zewe
CB-12025,Consumer,Cassandra Brandow
VM-21685,Home Office,Valerie Mitchum
FH-14365,Corporate,Fred Hopkins
MB-17305,Consumer,Maria Bertelson
BS-11755,Consumer,Bruce Stewart
LC-17140,Consumer,Logan Currie
HK-14890,Corporate,Heather Kirkland
LE-16810,Consumer,Laurel Elliston
JH-15985,Consumer,Joseph Holt
MS-17980,Corporate,Michael Stewart
